	pseudo1	pseudo2	pseudo3	pseudo4	pseudo5	pseudo6	pseudo7	pseudo8
A2M	920	1002	326	2066	79	458	4167	1174
AAK1	1016	561	425	862	2004	927	1529	688
ABCC3	1114	191	1224	252	2196	3740	631	556
AC016831.7	284	79	262	253	180	32	151	110
AC020571.3	7	1	142	39	10	9	1	8
ACAP1	322	474	667	1030	609	96	278	294
ACE	64	69	26	29	202	167	625	140
ACKR1	90	9	19	2	108	3	59	296
ACOT7	465	208	326	298	860	255	411	383
ACP5	1507	1850	2172	1657	693	585	2312	2707
ACSL4	108	191	314	267	561	708	333	268
ACTA2	828	766	293	141	144	434	3660	2455
ACVRL1	43	108	29	31	12	25	303	220
ADAM28	306	72	297	411	167	3678	521	260
ADGRF5	843	18	1857	52	131	2775	700	446
ADGRL4	42	11	5	0	20	57	378	141
ADH1B	9	11	6	3	0	0	6	6
ADIRF	106	326	321	28	2528	33	970	635
ADRB2	310	145	221	221	308	64	740	245
AEBP1	154	176	31	21	92	10	249	727
AGER	25	7	74	18	57	40	45	21
AGR2	30769	51	15307	3117	14524	163821	23671	7467
AGR3	91	0	1807	30	1	5801	179	8
AHR	415	369	1660	524	812	4722	796	1403
AIF1	2216	4592	3235	8525	676	544	6344	11202
AK1	2080	266	4554	349	2725	2785	5189	1309
AKNA	196	219	421	400	331	253	401	203
AL928768.3	20	13	464	78	11	28	0	135
ALDH1A1	1628	585	559	604	22	50	450	291
ALDH2	2058	824	1010	1306	530	3346	8353	1063
ALG13	1194	251	802	544	1884	1079	1139	535
ALOX5	154	237	530	662	83	58	762	739
ALOX5AP	1198	3017	5038	7009	435	569	7990	8062
ANAPC11	12108	1981	4655	3357	22132	15169	14767	6821
ANKRD12	1137	856	1510	1418	3344	4956	2177	1112
ANKRD28	385	291	697	927	526	2825	935	466
ANKRD44	140	200	475	481	150	138	220	237
ANXA1	1269	4272	4620	4630	45234	3275	15595	5493
ANXA2	11259	5423	7838	9049	76007	42823	34532	17266
ANXA5	3059	3210	2754	5032	6839	4213	8167	5219
AP1S2	1085	1018	1044	2943	436	405	1272	1885
AP2S1	5036	2956	4066	5945	7143	5584	10972	10665
APLP2	7211	2740	4684	2482	7097	9717	14465	4442
APOBEC3G	159	648	622	490	1268	52	295	475
