	Myeloid.cells	T.NK.cells	B.lymphocytes	Fibroblasts	Endothelial.cells	MAST.cells	Epithelial.cells
A2M	1.158844984	0.030736792	0.055434245	17.7955335	6.33703907	0.038737054	0.193868564
AAK1	0.431779184	0.375590726	0.045582288	0.259155026	0.397143297	0.088544269	0.432232459
ABCC3	0.261489415	0.008080308	0.014350231	0.079851397	0.022864645	0.004473686	1.622855072
AC016831.7	0.133720047	0.335091292	0.27123671	0.060137027	0.039522387	0.073457797	0.051118353
AC020571.3	0.011076878	0.03146137	0.002085389	0.02053604	0.003857347	0.46465853	0.008095313
ACAP1	0.20815839	0.929764265	0.716359294	0.072757081	0.035370718	0.133973186	0.101259103
ACE	0.258777056	0.003958705	0.005357799	0.021095374	1.262312135	0.011585007	0.040923022
ACKR1	0.010000285	0.002592333	0.002836032	0.027718459	8.203565203	0.001093789	0.011578778
ACOT7	0.556781211	0.050196016	0.019862055	0.107231648	0.107362767	0.456925415	0.1626025
ACP5	7.059580885	0.16500482	0.330604701	0.502886192	0.113063046	0.279258981	0.698649903
ACSL4	0.235161117	0.031393295	0.031937289	0.10449159	0.184989024	0.683310375	0.601925956
ACTA2	0.064568165	0.050659465	0.025746035	8.469821935	0.045094486	0.012829035	0.072976514
ACVRL1	0.190618372	0.001103209	0.001245092	0.197653166	1.418923906	0.003263193	0.009632976
ADAM28	0.241963874	0.00768072	0.504118057	0.013357524	0.017057994	0.018855176	0.112153335
ADGRF5	0.015312938	0.007529544	0.010890287	0.145366459	0.964528065	0.007588508	1.992214557
ADGRL4	0.002020595	0.000912156	0.001405721	0.009982121	1.720547143	0.000323428	0.00141696
ADH1B	0.011351342	0.004121958	0.006860384	3.888474444	0.010756686	0.00491456	0.003196119
ADIRF	0.049386874	0.013170286	0.021820722	3.046957911	3.387196407	0.015884614	1.992134861
ADRB2	0.103454469	0.048773053	0.026295424	0.020487022	0.090617398	0.523877715	0.381580781
AEBP1	0.017223354	0.005282467	0.012230292	5.202376791	0.265354801	0.033690076	0.035832011
